# All	Overall construction output			Target variable	
# cost	Construction cost	
# UR	Unemployment rate		
# INT	Interest rate		
# GDP	gross domestic product 		
# Exp	Export		
# PCE	Private consumption expenditure		
# Pop	Population		
Period	All	Cost	UR	INT	GDP	Exp	PCE	Pop
1983Q1	21387	560	4.77	10.5	130285	72371	91733	5335.55
1983Q2	21422	560	5.03	12.13	136895	84056	89626	5354.65
1983Q3	21140	540	3.97	12.31	146790	92156	94656	5370.8
1983Q4	21891	560	4.2	14.3	152629	98290	96096	5384
1984Q1	20866	570	3.97	11.06	146551	91995	97403	5391.2125
1984Q2	20490	570	3.9	11.81	156399	102609	93378	5404.5875
1984Q3	21049	570	3.77	15.07	162582	108491	100955	5423.6125
1984Q4	21057	560	3.87	12.06	157741	108640	102260	5438.1875
1985Q1	20838	560	3.27	10.22	155319	103676	100726	5447.5125
1985Q2	20170	555	3.1	8.85	152397	109429	99085	5464.8875
1985Q3	19404	565	3.37	6.67	158463	109641	102965	5491.85
1985Q4	21040	585	3.3	7	161550	112973	107934	5508.95
1986Q1	19376	605	3.1	7	156220	101666	108496	5516.4375
1986Q2	19013	615	3.17	7.73	165284	119523	105245	5532.7625
1986Q3	19332	630	3.07	6.99	185312	133466	113254	5558.7125
1986Q4	21861	655	2.33	6.5	190615	144436	118798	5572.6875
1987Q1	21515	665	2	5.55	176766	134414	118623	5574.3
1987Q2	20509	690	1.77	6.67	187678	157210	119799	5586.7
1987Q3	22070	700	1.63	7.5	213463	174306	125700	5609.4125
1987Q4	23761	740	1.7	6.63	212948	179323	129167	5621.1875
1988Q1	22224	785	1.53	5.66	193906	164233	131160	5620.5625
1988Q2	22208	820	1.57	7.14	204491	190606	128549	5634.6375
1988Q3	20453	865	1.43	9.13	228953	215122	136365	5664.275
1988Q4	24162	925	1.13	9.65	230820	223897	143439	5678.925
1989Q1	23418	960	1.1	10.47	207198	193170	140453	5679.3375
1989Q2	22298	960	1.17	11.44	210517	214003	134555	5693.0625
1989Q3	22818	985	1.03	10.25	229574	230682	140457	5724.2125
1989Q4	23052	1000	1.03	10	230422	226205	144696	5728.7875
1990Q1	23143	1020	1.37	10	209065	197136	141314	5701.3125
1990Q2	24256	1030	1.37	10.99	219889	228575	142729	5707.6875
1990Q3	25364	1045	1.37	10.73	240894	247134	153391	5746.0625
1990Q4	26224	1080	1.2	10.11	241483	264490	157804	5757.9375
1991Q1	23890	1090	1.43	9.65	221755	222953	152067	5744.0875
1991Q2	23885	1075	1.87	9.89	231523	264276	155894	5759.9125
1991Q3	23413	1075	1.83	9.42	253362	287764	169882	5809.2375
1991Q4	24982	1055	1.83	8.68	256654	302908	172505	5821.3625
1992Q1	23646	1035	2.17	8.5	235662	266245	166375	5791.4625
1992Q2	23477	1020	1.97	7.77	246913	316656	169768	5809.5375
1992Q3	24221	1020	1.67	6.53	270368	337801	183780	5875.0375
1992Q4	26018	1030	2.1	6.5	270412	350517	186238	5900.1625
1993Q1	23978	1025	2.17	6.5	250676	311518	179227	5887.2
1993Q2	25059	1045	1.83	6.5	261937	351355	184837	5914.8
1993Q3	25936	1075	1.9	6.5	286399	384720	193255	5981.2
1993Q4	28255	1080	2.07	6.5	287802	383337	204250	6014.8
1994Q1	29021	1100	1.9	6.51	270489	336364	197646	6020.2375
1994Q2	29400	1125	1.63	6.97	279668	385587	196150	6050.5625
1994Q3	29161	1160	1.97	7.47	299526	421179	201995	6104.2125
1994Q4	30629	1220	2.13	8.08	302732	423317	215269	6134.3875
1995Q1	29238	1280	2.37	8.8	280982	383833	201777	6137.2625
1995Q2	30776	1330	2.67	9	287863	427216	201269	6174.9375
1995Q3	30469	1360	3.53	9	303325	464653	202961	6235.075
1995Q4	33774	1370	3.67	8.98	307600	447634	218267	6304.925
1996Q1	32919	1400	3.13	8.59	287937	405488	207103	6410.925
1996Q2	32572	1430	2.93	8.5	298358	447583	205579	6460.075
1996Q3	33866	1485	2.73	8.5	317788	490415	212253	6459.875
1996Q4	36678	1520	2.53	8.5	325927	475388	230043	6473.325
1997Q1	34870	1575	2.37	8.51	304794	432586	215006	6483.0375
1997Q2	34963	1660	2.23	8.75	320667	482318	222105	6495.5625
1997Q3	33800	1760	2.13	8.75	337724	518074	229695	6509.9
1997Q4	35832	1810	2.2	9.31	329552	509412	235536	6523.5
1998Q1	33774	1800	2.9	10.15	296652	427273	211428	6535.3625
1998Q2	33717	1765	3.93	10	301481	464563	213493	6552.0375
1998Q3	30743	1695	4.97	10	309797	478163	210687	6575.55
1998Q4	30906	1675	5.6	9.6	308760	468731	217137	6591.25
1999Q1	31233	1660	6.37	8.78	287619	407571	203214	6599.725
1999Q2	29710	1640	6.17	8.37	302828	458653	215605	6613.275
1999Q3	29539	1620	6.17	8.34	322194	518638	216483	6630.2875
1999Q4	29298	1600	6.3	8.5	334549	527109	226358	6644.9125
2000Q1	29102	1510	5.83	8.64	318333	486636	216295	6655.7625
2000Q2	27740	1440	5.17	9.22	325281	537140	225792	6674.2375
2000Q3	28519	1435	4.9	9.5	345465	605055	223956	6705.3375
2000Q4	29330	1410	4.53	9.5	353688	593582	234528	6717.6625
2001Q1	27545	1400	4.47	8.69	324858	508403	223600	6711.95
2001Q2	26981	1390	4.5	7.4	328861	531903	232099	6716.65
2001Q3	26617	1360	4.83	6.59	345875	589747	225922	6726.575
2001Q4	30242	1290	5.93	5.34	350703	556155	231562	6734.025
2002Q1	27072	1270	6.83	5.13	322970	498346	225506	6744.6625
2002Q2	27829	1240	7.3	5.13	330492	564006	227080	6743.5375
2002Q3	26587	1210	7.4	5.13	354014	656457	223295	6727.4625
2002Q4	27188	1185	7.33	5.05	365191	653793	227747	6724.1375
2003Q1	26176	1205	7.5	5	335480	587688	215962	6726
2003Q2	27521	1230	8.17	5	328631	620916	216510	6735.6
2003Q3	26777	1195	8.33	5	368139	721706	222636	6757.6125
2003Q4	25799	1210	7.7	5	382370	745908	234448	6770.7875
2004Q1	24849	1255	7.33	5	362010	675564	229291	6779.3125
2004Q2	24740	1265	6.9	5	368482	752222	239720	6787.6875
2004Q3	25110	1230	6.63	5.01	393565	829032	234435	6793.9875
2004Q4	25916	1220	6.67	5.06	413636	831529	249511	6801.4125
2005Q1	25272	1260	6.17	5.03	385093	736573	236978	6808.1875
2005Q2	24138	1270	5.77	5.47	395389	832138	245528	6818.2125
2005Q3	24380	1275	5.57	6.59	426389	927399	243727	6832.3125
2005Q4	24485	1280	5.3	7.37	444429	919030	260493	6843.2875
2006Q1	23663	1300	5.13	7.76	419764	833989	251607	6848.7875
2006Q2	24003	1310	4.93	8	419527	885416	263291	6865.4125
2006Q3	23652	1360	4.77	8	453636	1002982	254716	6896.9
2006Q4	24951	1410	4.53	7.85	474502	1014378	277259	6911.7
2007Q1	23421	1440	4.37	7.75	444421	902144	265870	6912.0375
2007Q2	24004	1475	4.27	7.75	445418	977122	283645	6920.5625
2007Q3	23683	1535	4.13	7.72	484066	1082183	283443	6933.2125
2007Q4	25736	1595	3.7	7.15	507784	1088949	304450	6943.5875
2008Q1	24432	1680	3.33	5.96	475688	978917	288309	6954.6125
2008Q2	24703	1810	3.27	5.25	463254	1025781	293565	6960.9875
2008Q3	22856	1865	3.33	5.25	488637	1102417	283620	6962.025
2008Q4	25033	1750	3.87	5.11	494151	1046640	293517	6965.775
2009Q1	22870	1630	4.97	5	438752	792576	270927	6968.7375
2009Q2	24514	1605	5.3	5	449005	913180	294110	6976.8625
2009Q3	22905	1620	5.43	5	480356	989762	286702	6989.975
2009Q4	23394	1655	5.1	5	506359	1045362	309349	7002.825
2010Q1	22488	1670	4.73	5	473540	956317	291165	7017.2375
2010Q2	25988	1730	4.57	5	477645	1093707	305395	7031.1625
2010Q3	25629	1750	4.27	5	511681	1184090	301313	7046.175
2010Q4	26172	1785	4.03	5	538465	1134430	334204	7058.025
2011Q1	25847	1840	3.63	5	509554	1093394	314548	7064.0625
2011Q2	25243	1870	3.6	5	502006	1105142	336814	7079.1375
2011Q3	27203	1925	3.3	5	531743	1174324	330162	7102.025
2011Q4	29970	1955	3.3	5	554385	1165615	353957	7122.775
2012Q1	30421	1995	3.33	5	513678	1060353	335097	7146.4125
2012Q2	30318	2045	3.23	5	506960	1113940	348744	7162.7875
2012Q3	29836	2075	3.27	5	541186	1217233	339261	7173.7875
2012Q4	35840	2100	3.33	5	571530	1235168	367170	7182.0125
2013Q1	32900	2145	3.47	5	531345	1141700	357833	7182.0125
2013Q2	31788	2190	3.4	5	522554	1183528	366190	7192.9875
2013Q3	30384	2230	3.4	5	557720	1286403	349132	7215.025
2013Q4	34796	2290	3.3	5	587614	1300345	381347	7228.575
2014Q1	34785	2360	3.13	5	546921	1152406	365807	7236.1125
2014Q2	33337	2390	3.17	5	533716	1198572	374203	7247.2875
2014Q3	33031	2425	3.3	5	575409	1297947	366270	7258.5
2014Q4	37132	2460	3.3	5	602169	1306432	396813	7274.5
2015Q1	35717	510	3.3	5	560128	1156084	383974	7298.4125
2015Q2	36365	2540	3.27	5	550483	1166230	399542	7312.9875
2015Q3	35360	2545	3.3	5	588748	1265424	382344	7322.5375
2015Q4	39536	2565	3.3	5	613884	1293121	407402	7327.0625
